LoginID,Password,LoginType
12520,12520,CUSTOMER
13045,13045,CUSTOMER
20335,20335,CUSTOMER
11710,11710,CUSTOMER
10480,10480,CUSTOMER
15070,15070,CUSTOMER
14815,14815,CUSTOMER
19075,19075,CUSTOMER
10270,10270,CUSTOMER
21925,21925,CUSTOMER
16585,16585,CUSTOMER
20065,20065,CUSTOMER
13870,13870,CUSTOMER
13945,13945,CUSTOMER
21520,21520,CUSTOMER
17560,17560,CUSTOMER
14485,14485,CUSTOMER
20710,20710,CUSTOMER
16930,16930,CUSTOMER
19885,19885,CUSTOMER
14080,14080,CUSTOMER
18715,18715,CUSTOMER
18865,18865,CUSTOMER
16900,16900,CUSTOMER
13000,13000,CUSTOMER
15265,15265,CUSTOMER
21055,21055,CUSTOMER
16720,16720,CUSTOMER
18970,18970,CUSTOMER
11590,11590,CUSTOMER
16270,16270,CUSTOMER
14980,14980,CUSTOMER
15745,15745,CUSTOMER
16600,16600,CUSTOMER
20770,20770,CUSTOMER
13690,13690,CUSTOMER
16105,16105,CUSTOMER
12400,12400,CUSTOMER
18895,18895,CUSTOMER
14455,14455,CUSTOMER
15685,15685,CUSTOMER
16315,16315,CUSTOMER
19705,19705,CUSTOMER
18775,18775,CUSTOMER
16345,16345,CUSTOMER
13855,13855,CUSTOMER
19465,19465,CUSTOMER
14470,14470,CUSTOMER
16870,16870,CUSTOMER
15250,15250,CUSTOMER
19060,19060,CUSTOMER
12805,12805,CUSTOMER
12565,12565,CUSTOMER
19960,19960,CUSTOMER
13090,13090,CUSTOMER
14650,14650,CUSTOMER
20725,20725,CUSTOMER
10180,10180,CUSTOMER
19165,19165,CUSTOMER
21610,21610,CUSTOMER
16975,16975,CUSTOMER
13585,13585,CUSTOMER
16885,16885,CUSTOMER
15895,15895,CUSTOMER
19975,19975,CUSTOMER
20080,20080,CUSTOMER
14920,14920,CUSTOMER
17680,17680,CUSTOMER
16165,16165,CUSTOMER
21025,21025,CUSTOMER
20650,20650,CUSTOMER
18490,18490,CUSTOMER
13060,13060,CUSTOMER
18670,18670,CUSTOMER
21070,21070,CUSTOMER
13960,13960,CUSTOMER
19900,19900,CUSTOMER
17740,17740,CUSTOMER
11140,11140,CUSTOMER
12130,12130,CUSTOMER
15400,15400,CUSTOMER
20500,20500,CUSTOMER
